code,date,profit,income,net profit margine,asset turn over,equity multiplier,ROE
603198,2013/12/31,422.2480 ,3394.9605 ,0.1244 ,1.0006 ,1.6160 ,0.2011 
603198,2012/12/31,465.9458 ,3353.5616 ,0.1389 ,1.0610 ,1.7220 ,0.2539 
603369,2017/12/31,895.3683 ,2957.4952 ,0.3027 ,0.4414 ,1.3537 ,0.1809 
603369,2016/12/31,753.4562 ,2554.3780 ,0.2950 ,0.4403 ,1.3393 ,0.1740 
603369,2015/12/31,682.5148 ,2424.9193 ,0.2815 ,0.4887 ,1.3058 ,0.1796 
603369,2014/12/31,642.0662 ,2399.7378 ,0.2676 ,0.6101 ,1.3435 ,0.2193 
603369,2013/12/31,680.1103 ,2515.4217 ,0.2704 ,0.7940 ,1.5395 ,0.3305 
603369,2012/12/31,676.3755 ,2593.7568 ,0.2608 ,0.9864 ,1.6946 ,0.4359 
603589,2017/12/31,1113.6630 ,3602.6472 ,0.3091 ,0.5391 ,1.4333 ,0.2388 
603589,2016/12/31,783.4642 ,2830.1787 ,0.2768 ,0.5307 ,1.3487 ,0.1981 
603589,2015/12/31,605.3969 ,2584.0125 ,0.2343 ,0.5983 ,1.4527 ,0.2036 
603589,2014/12/31,422.1396 ,2258.5538 ,0.1869 ,0.6223 ,1.7106 ,0.1990 
603589,2013/12/31,398.1670 ,2447.1512 ,0.1627 ,0.7325 ,1.8497 ,0.2205 
603589,2012/12/31,455.9733 ,2506.5471 ,0.1819 ,0.9071 ,1.9103 ,0.3152 
603919,2017/12/31,252.9614 ,1332.8163 ,0.1898 ,0.5806 ,1.3235 ,0.1458 
603919,2016/12/31,221.8658 ,1277.2778 ,0.1737 ,0.6213 ,1.7062 ,0.1841 
603919,2015/12/31,165.8058 ,1182.4109 ,0.1402 ,0.6933 ,2.4221 ,0.2355 
603919,2014/12/31,124.7141 ,1012.8755 ,0.1231 ,0.7326 ,2.3272 ,0.2099 
603919,2013/12/31,108.4473 ,1093.0827 ,0.0992 ,0.8923 ,2.4188 ,0.2141 
603919,2012/12/31,106.4470 ,975.5839 ,0.1091 ,0.9492 ,3.2971 ,0.3415 
